,country,url,class
0,India,https://www.worldometers.info//world-population/india-population/,rts-counter
1,China,https://www.worldometers.info//world-population/china-population/,rts-counter
2,United States,https://www.worldometers.info//world-population/us-population/,rts-counter
3,Indonesia,https://www.worldometers.info//world-population/indonesia-population/,rts-counter
4,Pakistan,https://www.worldometers.info//world-population/pakistan-population/,rts-counter
5,Nigeria,https://www.worldometers.info//world-population/nigeria-population/,rts-counter
6,Brazil,https://www.worldometers.info//world-population/brazil-population/,rts-counter
7,Bangladesh,https://www.worldometers.info//world-population/bangladesh-population/,rts-counter
8,Russia,https://www.worldometers.info//world-population/russia-population/,rts-counter
9,Mexico,https://www.worldometers.info//world-population/mexico-population/,rts-counter
10,Ethiopia,https://www.worldometers.info//world-population/ethiopia-population/,rts-counter
11,Japan,https://www.worldometers.info//world-population/japan-population/,rts-counter
12,Philippines,https://www.worldometers.info//world-population/philippines-population/,rts-counter
13,Egypt,https://www.worldometers.info//world-population/egypt-population/,rts-counter
14,DR Congo,https://www.worldometers.info//world-population/democratic-republic-of-the-congo-population/,rts-counter
15,Vietnam,https://www.worldometers.info//world-population/vietnam-population/,rts-counter
16,Iran,https://www.worldometers.info//world-population/iran-population/,rts-counter
17,Turkey,https://www.worldometers.info//world-population/turkey-population/,rts-counter
18,Germany,https://www.worldometers.info//world-population/germany-population/,rts-counter
19,Thailand,https://www.worldometers.info//world-population/thailand-population/,rts-counter
20,United Kingdom,https://www.worldometers.info//world-population/uk-population/,rts-counter
21,Tanzania,https://www.worldometers.info//world-population/tanzania-population/,rts-counter
22,France,https://www.worldometers.info//world-population/france-population/,rts-counter
23,South Africa,https://www.worldometers.info//world-population/south-africa-population/,rts-counter
24,Italy,https://www.worldometers.info//world-population/italy-population/,rts-counter
25,Kenya,https://www.worldometers.info//world-population/kenya-population/,rts-counter
26,Myanmar,https://www.worldometers.info//world-population/myanmar-population/,rts-counter
27,Colombia,https://www.worldometers.info//world-population/colombia-population/,rts-counter
28,South Korea,https://www.worldometers.info//world-population/south-korea-population/,rts-counter
29,Uganda,https://www.worldometers.info//world-population/uganda-population/,rts-counter
30,Sudan,https://www.worldometers.info//world-population/sudan-population/,rts-counter
31,Spain,https://www.worldometers.info//world-population/spain-population/,rts-counter
32,Argentina,https://www.worldometers.info//world-population/argentina-population/,rts-counter
33,Algeria,https://www.worldometers.info//world-population/algeria-population/,rts-counter
34,Iraq,https://www.worldometers.info//world-population/iraq-population/,rts-counter
35,Afghanistan,https://www.worldometers.info//world-population/afghanistan-population/,rts-counter
36,Poland,https://www.worldometers.info//world-population/poland-population/,rts-counter
37,Canada,https://www.worldometers.info//world-population/canada-population/,rts-counter
38,Morocco,https://www.worldometers.info//world-population/morocco-population/,rts-counter
39,Saudi Arabia,https://www.worldometers.info//world-population/saudi-arabia-population/,rts-counter
40,Ukraine,https://www.worldometers.info//world-population/ukraine-population/,rts-counter
41,Angola,https://www.worldometers.info//world-population/angola-population/,rts-counter
42,Uzbekistan,https://www.worldometers.info//world-population/uzbekistan-population/,rts-counter
43,Yemen,https://www.worldometers.info//world-population/yemen-population/,rts-counter
44,Peru,https://www.worldometers.info//world-population/peru-population/,rts-counter
45,Malaysia,https://www.worldometers.info//world-population/malaysia-population/,rts-counter
46,Ghana,https://www.worldometers.info//world-population/ghana-population/,rts-counter
47,Mozambique,https://www.worldometers.info//world-population/mozambique-population/,rts-counter
48,Nepal,https://www.worldometers.info//world-population/nepal-population/,rts-counter
